,order_id,order_line,order_date,model,quantity,price,total_price,bikeshop_name,location,category_1,category_2,frame_material,city,state
0,1.0,1.0,2011-01-07,Jekyll Carbon 2,1.0,6070,6070.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon,Ithaca,NY
1,1.0,2.0,2011-01-07,Trigger Carbon 2,1.0,5970,5970.0,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon,Ithaca,NY
2,2.0,1.0,2011-01-10,Beast of the East 1,1.0,2770,2770.0,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
3,2.0,2.0,2011-01-10,Trigger Carbon 2,1.0,5970,5970.0,Kansas City 29ers,"Kansas City, KS",Mountain,Over Mountain,Carbon,Kansas City,KS
4,3.0,1.0,2011-01-10,Supersix Evo Hi-Mod Team,1.0,10660,10660.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
5,3.0,2.0,2011-01-10,Jekyll Carbon 4,1.0,3200,3200.0,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon,Louisville,KY
6,3.0,3.0,2011-01-10,Supersix Evo Black Inc.,1.0,12790,12790.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
7,3.0,4.0,2011-01-10,Supersix Evo Hi-Mod Dura Ace 2,1.0,5330,5330.0,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
8,3.0,5.0,2011-01-10,Synapse Disc 105,1.0,1570,1570.0,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Aluminum,Louisville,KY
9,4.0,1.0,2011-01-11,Synapse Carbon Disc Ultegra D12,1.0,4800,4800.0,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Carbon,Ann Arbor,MI
10,5.0,1.0,2011-01-11,Catalyst 3,1.0,480,480.0,Denver Bike Shop,"Denver, CO",Mountain,Sport,Aluminum,Denver,CO
11,5.0,2.0,2011-01-11,F-Si Black Inc.,2.0,11190,22380.0,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Carbon,Denver,CO
12,5.0,3.0,2011-01-11,Synapse Disc Tiagra,1.0,1250,1250.0,Denver Bike Shop,"Denver, CO",Road,Endurance Road,Aluminum,Denver,CO
13,5.0,4.0,2011-01-11,F-Si 2,1.0,2060,2060.0,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Aluminum,Denver,CO
14,6.0,1.0,2011-01-11,SuperX 105,1.0,1960,1960.0,Phoenix Bi-peds,"Phoenix, AZ",Road,Cyclocross,Carbon,Phoenix,AZ
15,6.0,2.0,2011-01-11,Slice Hi-Mod Dura Ace D12,1.0,4500,4500.0,Phoenix Bi-peds,"Phoenix, AZ",Road,Triathalon,Carbon,Phoenix,AZ
